,India,Japan,Kenya,Thailand,USA
english,0.7,0.65625,0.6464646464646465,0.7142857142857143,0.5
hindi,0.5454545454545454,0.7222222222222222,0.6162790697674418,0.7764705882352941,0.6785714285714286
japanese,0.4943820224719101,0.1839080459770115,0.3372093023255814,0.5844155844155844,0.38461538461538464
swahili,0.5172413793103449,0.6091954022988506,0.32558139534883723,0.6666666666666666,0.43661971830985913
thai,0.8023255813953488,0.7380952380952381,0.6785714285714286,0.5647058823529412,0.6233766233766234
