,India,Japan,Kenya,Thailand,USA
english,6.17,6.927083333333333,6.363636363636363,6.2967032967032965,7.127659574468085
hindi,5.0227272727272725,4.877777777777778,4.627906976744186,4.976470588235294,4.9523809523809526
japanese,5.382022471910112,6.275862068965517,5.72093023255814,5.402597402597403,5.769230769230769
swahili,5.436781609195402,5.275862068965517,5.069767441860465,4.935897435897436,4.690140845070423
thai,5.523255813953488,5.964285714285714,5.488095238095238,5.776470588235294,6.402597402597403
