,India,Japan,Kenya,Thailand,USA
english,0.5,0.5520833333333334,0.43434343434343436,0.3516483516483517,0.7340425531914894
hindi,0.23863636363636365,0.25555555555555554,0.19767441860465115,0.21176470588235294,0.21428571428571427
japanese,0.3595505617977528,0.5287356321839081,0.29069767441860467,0.18181818181818182,0.41025641025641024
swahili,0.367816091954023,0.27586206896551724,0.32558139534883723,0.21794871794871795,0.29577464788732394
thai,0.3023255813953488,0.3333333333333333,0.2619047619047619,0.27058823529411763,0.4675324675324675
